enzyme_name	ec_number	match_type	matched_name	substrate
glu–gly–arg arylamidase	3.5.-.-	partial		
glu–gly–arg-arylamidase	3.5.-.-	partial		
glycin arylamidase	3.5.-.-	partial		
glycyl tryptophan arylamidase	3.5.-.-	partial		
heparin lyase	4.2.2.7	primary	heparin lyase	
hippurate hydrolase	3.5.1.32	primary	hippurate hydrolase	
histidine arylamidase	3.5.-.-	partial		
hyaluronate lyase	4.2.2.1	primary	hyaluronate lyase	
hyaluronidase	3.2.1.35	synonym	hyaluronidase	
hydrogenase	1.12.1.2	synonym	hydrogenase	
l-pyrrolydonyl arylamidase	3.5.-.-	partial		
l-pyrrolyldonyl-arylamidase	3.5.-.-	partial		
leucine aminopeptidase	3.4.11.1	synonym	leucine aminopeptidase	
leucine arylamidase	3.5.-.-	partial		
leucyl glycin arylamidase	3.5.-.-	partial		
lipase	3.1.1.3	synonym	lipase	
lipase (C 14)	3.1.1.3	synonym	lipase	C 14
lipase (Tween 80)	3.1.1.3	synonym	lipase	Tween 80
lysine decarboxylase	4.1.1.18	primary	lysine decarboxylase	
lysozyme	3.2.1.17	primary	lysozyme	
methanol dehydrogenase	1.1.1.244	primary	methanol dehydrogenase	
naphthol-AS-BI-phosphohydrolase	3.-.-.-	partial		
nitrate reductase	1.-.-.-	partial		
nitrite reductase	1.7.2.1	synonym	nitrite reductase	
nitrogenase	1.18.6.1	primary	nitrogenase	
ornithine decarboxylase	4.1.1.17	primary	ornithine decarboxylase	
oxidase	1.-.-.-	partial		
oxoglutarate dehydrogenase	1.2.4.2	synonym	oxoglutarate dehydrogenase	
pectinase	3.2.1.15	synonym	pectinase	
penicillinase	3.5.2.6	synonym	penicillinase	
phenylalaninase	1.14.16.1	synonym	phenylalaninase	
phenylalanine ammonia-lyase	4.3.1.24	primary	phenylalanine ammonia-lyase	
phenylalanine arylamidase	3.5.-.-	partial		
phosphatase	3.1.3.52	primary	phosphatase	
phosphatidate phosphatase	3.1.3.4	primary	phosphatidate phosphatase	
phosphatidylinositol phospholipase C	3.1.4.11	synonym	phosphatidylinositol phospholipase C	
phosphoamidase	3.9.1.1	primary	phosphoamidase	
phosphohydrolase	3.6.1.54	synonym	phosphohydrolase	
phospholipase C	3.1.4.3	primary	phospholipase C	
proline-arylamidase	3.5.-.-	partial		
protease	3.4.-.-	partial		
pyrazinamidase	3.5.-.-	partial		
pyroglutamic acid arylamidase	3.5.-.-	partial		
pyrrolidonyl arylamidase	3.5.-.-	partial		
serine arylamidase	3.5.-.-	partial		
skimmed milk protease	3.4.-.-	partial		
superoxide dismutase	1.15.1.1	primary	superoxide dismutase	
tellurite reductase	1.-.-.-	partial		
thiosulfate reductase	2.8.1.5	synonym	thiosulfate reductase	
tripeptide aminopeptidase	3.4.11.4	primary	tripeptide aminopeptidase	
trypsin	3.4.21.4	primary	trypsin	
tryptophan decarboxylase	4.1.1.28	synonym	tryptophan decarboxylase	
tryptophanase	1.13.11.11	synonym	tryptophanase	
tween esterase	3.1.1.-	partial		
tyrosinase	1.10.3.1	synonym	tyrosinase	
tyrosine arylamidase	3.5.-.-	partial		
urease	3.5.1.5	primary	urease	
valine aminopeptidase	3.4.-.-	partial		
valine arylamidase	3.5.-.-	partial		
xylan 1,4-beta-xylosidase	3.2.1.37	primary	xylan 1,4-beta-xylosidase	
α-galactosidase	3.2.1.-	partial		
α-galactosidase (Mannosidase)	3.2.1.-	partial		
α-glucosidase	3.2.1.-	partial		
β-N-acetyl-glucosaminidase	3.4.-.-	partial		
β-galactosidase	3.2.1.-	partial		
β-galactosidase (ONPG)	3.2.1.-	partial		
β-galactosidase (PNPG)	3.2.1.-	partial		
β-glucosidase	3.2.1.-	partial		
β-glycosidase	3.2.1.-	partial		
